"id","name","grade","academy","period 1","period 2","period 3","period 4","period 5","period 6","prefClass1","pref1","prefClass2","pref2","prefClass3","pref3","prefClass4","pref4","prefClass5","pref5","prefClass6","pref6"
"12340","student_0","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12341","student_1","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12342","student_2","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12343","student_3","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12344","student_4","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12345","student_5","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12346","student_6","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12347","student_7","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12348","student_8","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"12349","student_9","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123410","student_10","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123411","student_11","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123412","student_12","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123413","student_13","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123414","student_14","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123415","student_15","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123416","student_16","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123417","student_17","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123418","student_18","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123419","student_19","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123420","student_20","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123421","student_21","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123422","student_22","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123423","student_23","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123424","student_24","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123425","student_25","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123426","student_26","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123427","student_27","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123428","student_28","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123429","student_29","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123430","student_30","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123431","student_31","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123432","student_32","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123433","student_33","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123434","student_34","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123435","student_35","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123436","student_36","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123437","student_37","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123438","student_38","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123439","student_39","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123440","student_40","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123441","student_41","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123442","student_42","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123443","student_43","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123444","student_44","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123445","student_45","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
"123446","student_46","10","none","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","Please Generate","World History","false","Algebra","false","Biology","false","French","false","Health","false","Culinary","false"
